EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL,IS_DEFAULT
6,ALL CREDITS PAID BACK,NEW CAR,783,UNKNOWN/NONE,1 to 4 YRS,PA,NO,YES,NO,YES,YES,YES,YES,1,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,6468,UNKNOWN/NONE,TBD,NJ,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,Yes
36,CRITICAL ACCOUNT,ELECTRONICS,9566,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,YES,YES,2,3,NO,NO,No
18,EXISTING CREDITS PAID BACK,NEW CAR,1961,up to 100 K USD,above 7 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,4,NO,NO,No
36,CRITICAL ACCOUNT,FURNITURE,6229,up to 100 K USD,up to 1 YR,NY,NO,NO,YES,NO,NO,NO,NO,2,2,YES,NO,Yes
9,EXISTING CREDITS PAID BACK,RETRAINING,1391,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,YES,YES,YES,1,3,YES,NO,No
15,CRITICAL ACCOUNT,ELECTRONICS,1537,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,YES,YES,NO,YES,2,3,YES,NO,No
36,NONE TAKEN,RETRAINING,1953,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO,Yes
48,NONE TAKEN,RETRAINING,14421,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,Yes
24,EXISTING CREDITS PAID BACK,ELECTRONICS,3181,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
27,EXISTING CREDITS PAID BACK,OTHER,5190,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,4,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,2171,up to 100 K USD,up to 1 YR,NJ,NO,NO,NO,NO,NO,YES,YES,1,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,NEW CAR,1007,above 1000 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,No
36,EXISTING CREDITS PAID BACK,EDUCATION,1819,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,YES,NO,1,3,YES,NO,Yes
36,EXISTING CREDITS PAID BACK,ELECTRONICS,2394,UNKNOWN/NONE,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
36,EXISTING CREDITS PAID BACK,USED CAR,8133,up to 100 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,YES,YES,1,3,NO,NO,No
7,CRITICAL ACCOUNT,ELECTRONICS,730,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,2,YES,NO,No
8,CRITICAL ACCOUNT,OTHER,1164,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,YES,NO,2,4,YES,NO,No
42,CRITICAL ACCOUNT,RETRAINING,5954,up to 100 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,YES,YES,YES,2,2,NO,NO,No
36,EXISTING CREDITS PAID BACK,EDUCATION,1977,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,Yes
12,CRITICAL ACCOUNT,USED CAR,1526,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,4,NO,NO,No
42,EXISTING CREDITS PAID BACK,ELECTRONICS,3965,up to 100 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
11,DELAY IN PAST,ELECTRONICS,4771,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
54,NONE TAKEN,USED CAR,9436,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,2,NO,NO,No
30,EXISTING CREDITS PAID BACK,FURNITURE,3832,up to 100 K USD,up to 1 YR,NJ,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,ELECTRONICS,5943,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO,Yes
15,EXISTING CREDITS PAID BACK,ELECTRONICS,1213,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO,No
18,EXISTING CREDITS PAID BACK,RETRAINING,1568,100 to 500 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,NO,1,2,NO,NO,No
24,EXISTING CREDITS PAID BACK,OTHER,1755,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,YES,YES,NO,YES,1,2,YES,NO,No
10,EXISTING CREDITS PAID BACK,ELECTRONICS,2315,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO,No
12,CRITICAL ACCOUNT,RETRAINING,1412,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,YES,YES,NO,YES,2,4,YES,NO,No
18,CRITICAL ACCOUNT,FURNITURE,1295,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
36,EXISTING CREDITS PAID BACK,EDUCATION,12612,100 to 500 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,Yes
18,EXISTING CREDITS PAID BACK,NEW CAR,2249,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,No
12,NONE TAKEN,OTHER,1108,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO,Yes
12,CRITICAL ACCOUNT,ELECTRONICS,618,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,NO,NO,No
12,CRITICAL ACCOUNT,USED CAR,1409,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,NO,NO,No
12,CRITICAL ACCOUNT,ELECTRONICS,797,UNKNOWN/NONE,above 7 YRS,NY,NO,NO,NO,NO,NO,YES,YES,1,2,NO,NO,Yes
24,CRITICAL ACCOUNT,FURNITURE,3617,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,YES,NO,NO,NO,NO,2,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,NEW CAR,1318,above 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO,No
54,NONE TAKEN,RETRAINING,15945,up to 100 K USD,up to 1 YR,CT,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,Yes
12,CRITICAL ACCOUNT,EDUCATION,2012,UNKNOWN/NONE,4 to 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
18,EXISTING CREDITS PAID BACK,RETRAINING,2622,100 to 500 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
36,CRITICAL ACCOUNT,ELECTRONICS,2337,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,NO,NO,No
20,DELAY IN PAST,USED CAR,7057,UNKNOWN/NONE,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,NO,2,4,YES,NO,No
24,EXISTING CREDITS PAID BACK,NEW CAR,1469,100 to 500 K USD,above 7 YRS,NY,NO,NO,NO,NO,YES,NO,NO,1,2,NO,NO,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,2323,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,NO,NO,No
6,DELAY IN PAST,ELECTRONICS,932,up to 100 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,No
9,CRITICAL ACCOUNT,FURNITURE,1919,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,USED CAR,2445,UNKNOWN/NONE,up to 1 YR,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO,No
24,CRITICAL ACCOUNT,OTHER,11938,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,YES,NO,NO,NO,YES,2,4,YES,NO,Yes
18,ALL CREDITS PAID BACK,NEW CAR,6458,up to 100 K USD,above 7 YRS,NJ,NO,YES,NO,NO,NO,YES,YES,2,4,YES,NO,Yes
12,EXISTING CREDITS PAID BACK,NEW CAR,6078,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,7721,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,1,3,YES,YES,No
14,EXISTING CREDITS PAID BACK,RETRAINING,1410,500 to 1000 K USD,above 7 YRS,PA,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO,No
6,DELAY IN PAST,RETRAINING,1449,100 to 500 K USD,above 7 YRS,PA,YES,NO,NO,NO,NO,YES,YES,2,3,NO,NO,No
15,EXISTING CREDITS PAID BACK,EDUCATION,392,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO,No
18,EXISTING CREDITS PAID BACK,NEW CAR,6260,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,YES,NO,NO,1,2,NO,NO,No
36,CRITICAL ACCOUNT,NEW CAR,7855,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,YES,YES,2,3,YES,NO,Yes
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1680,500 to 1000 K USD,above 7 YRS,CT,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,No
48,CRITICAL ACCOUNT,ELECTRONICS,3578,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO,No
42,EXISTING CREDITS PAID BACK,ELECTRONICS,7174,UNKNOWN/NONE,4 to 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,4,YES,NO,Yes
10,CRITICAL ACCOUNT,FURNITURE,2132,UNKNOWN/NONE,up to 1 YR,NJ,NO,NO,YES,NO,YES,NO,NO,2,3,NO,YES,No
33,CRITICAL ACCOUNT,FURNITURE,4281,500 to 1000 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO,Yes
12,CRITICAL ACCOUNT,NEW CAR,2366,500 to 1000 K USD,4 to 7 YRS,CT,YES,NO,NO,NO,NO,NO,YES,1,4,YES,NO,No
21,EXISTING CREDITS PAID BACK,ELECTRONICS,1835,up to 100 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,YES,NO,YES,2,3,YES,NO,Yes
24,CRITICAL ACCOUNT,USED CAR,3868,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,NO,2,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,FURNITURE,1768,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,YES,NO,NO,1,2,NO,NO,No
10,CRITICAL ACCOUNT,NEW CAR,781,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,3,YES,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,1924,UNKNOWN/NONE,up to 1 YR,NY,NO,NO,NO,NO,YES,NO,NO,1,3,NO,NO,Yes
12,CRITICAL ACCOUNT,NEW CAR,2121,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,701,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,OTHER,639,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
12,CRITICAL ACCOUNT,USED CAR,1860,up to 100 K USD,TBD,NY,NO,YES,NO,NO,NO,NO,YES,2,4,YES,NO,No
12,CRITICAL ACCOUNT,NEW CAR,3499,up to 100 K USD,1 to 4 YRS,CT,NO,NO,YES,NO,YES,NO,YES,2,3,NO,NO,Yes
48,EXISTING CREDITS PAID BACK,NEW CAR,8487,UNKNOWN/NONE,4 to 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
36,DELAY IN PAST,EDUCATION,6887,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO,Yes
15,EXISTING CREDITS PAID BACK,FURNITURE,2708,up to 100 K USD,up to 1 YR,NJ,NO,YES,NO,NO,NO,YES,YES,2,2,NO,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,1984,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,YES,NO,2,3,NO,NO,No
60,EXISTING CREDITS PAID BACK,ELECTRONICS,10144,100 to 500 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO,No
12,CRITICAL ACCOUNT,ELECTRONICS,1240,UNKNOWN/NONE,above 7 YRS,NY,NO,NO,NO,NO,YES,NO,YES,2,3,YES,NO,No
27,DELAY IN PAST,USED CAR,8613,above 1000 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,766,500 to 1000 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO,Yes
15,CRITICAL ACCOUNT,ELECTRONICS,2728,UNKNOWN/NONE,4 to 7 YRS,NY,NO,YES,NO,YES,YES,YES,YES,3,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1881,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,2,YES,NO,No
6,EXISTING CREDITS PAID BACK,NEW CAR,709,above 1000 K USD,up to 1 YR,NJ,NO,NO,NO,NO,YES,NO,YES,1,1,NO,YES,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,4795,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,1,4,YES,NO,No
27,EXISTING CREDITS PAID BACK,ELECTRONICS,3416,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,4,NO,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,2462,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
21,CRITICAL ACCOUNT,FURNITURE,2288,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
48,ALL CREDITS PAID BACK,RETRAINING,3566,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
6,CRITICAL ACCOUNT,NEW CAR,860,up to 100 K USD,above 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO,No
12,CRITICAL ACCOUNT,NEW CAR,682,100 to 500 K USD,4 to 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO,No
36,CRITICAL ACCOUNT,FURNITURE,5371,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,YES,NO,NO,YES,2,3,NO,NO,No
18,CRITICAL ACCOUNT,ELECTRONICS,1582,above 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
6,EXISTING CREDITS PAID BACK,ELECTRONICS,1346,100 to 500 K USD,above 7 YRS,NJ,NO,YES,NO,NO,NO,YES,NO,1,3,YES,NO,No
10,EXISTING CREDITS PAID BACK,ELECTRONICS,1924,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,NO,YES,1,3,YES,YES,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,5848,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
24,CRITICAL ACCOUNT,USED CAR,7758,above 1000 K USD,above 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,No
24,DELAY IN PAST,RETRAINING,6967,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,FURNITURE,1282,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
9,CRITICAL ACCOUNT,OTHER,1288,100 to 500 K USD,above 7 YRS,CT,NO,YES,NO,YES,YES,NO,YES,2,3,NO,YES,No
12,ALL CREDITS PAID BACK,OTHER,339,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,YES,YES,1,2,NO,NO,No
24,EXISTING CREDITS PAID BACK,NEW CAR,3512,100 to 500 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,YES,YES,2,3,YES,NO,No
6,CRITICAL ACCOUNT,ELECTRONICS,1898,UNKNOWN/NONE,1 to 4 YRS,PA,NO,YES,NO,NO,YES,NO,YES,2,2,NO,NO,No
24,CRITICAL ACCOUNT,ELECTRONICS,2872,100 to 500 K USD,above 7 YRS,CT,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO,No
18,CRITICAL ACCOUNT,NEW CAR,1055,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
15,EXISTING CREDITS PAID BACK,OTHER,1262,500 to 1000 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
10,EXISTING CREDITS PAID BACK,NEW CAR,7308,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,YES,NO,1,4,YES,NO,No
36,EXISTING CREDITS PAID BACK,NEW CAR,909,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
6,EXISTING CREDITS PAID BACK,FURNITURE,2978,500 to 1000 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,1131,up to 100 K USD,TBD,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
11,EXISTING CREDITS PAID BACK,FURNITURE,1577,above 1000 K USD,up to 1 YR,NY,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,3972,up to 100 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO,No
24,CRITICAL ACCOUNT,RETRAINING,1935,up to 100 K USD,above 7 YRS,NY,YES,NO,NO,NO,YES,NO,YES,2,3,YES,NO,Yes
15,NONE TAKEN,NEW CAR,950,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,3,NO,NO,Yes
12,EXISTING CREDITS PAID BACK,FURNITURE,763,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO,No
24,DELAY IN PAST,FURNITURE,2064,up to 100 K USD,TBD,CT,NO,NO,NO,NO,NO,NO,YES,1,4,YES,NO,Yes
8,EXISTING CREDITS PAID BACK,ELECTRONICS,1414,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,YES,YES,NO,YES,1,3,NO,YES,No
21,DELAY IN PAST,EDUCATION,3414,up to 100 K USD,up to 1 YR,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,Yes
30,ALL CREDITS PAID BACK,USED CAR,7485,UNKNOWN/NONE,TBD,NY,NO,NO,NO,NO,YES,YES,YES,1,4,YES,NO,Yes
12,EXISTING CREDITS PAID BACK,FURNITURE,2577,up to 100 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
6,CRITICAL ACCOUNT,ELECTRONICS,338,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1963,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,4,YES,NO,No
21,CRITICAL ACCOUNT,NEW CAR,571,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO,No
36,DELAY IN PAST,RETRAINING,9572,up to 100 K USD,up to 1 YR,PA,YES,NO,NO,NO,NO,NO,YES,2,3,NO,NO,Yes
36,DELAY IN PAST,RETRAINING,4455,up to 100 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,YES,YES,YES,2,4,YES,NO,Yes
21,ALL CREDITS PAID BACK,NEW CAR,1647,UNKNOWN/NONE,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,Yes
24,CRITICAL ACCOUNT,FURNITURE,3777,above 1000 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO,No
18,CRITICAL ACCOUNT,NEW CAR,884,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO,Yes
15,CRITICAL ACCOUNT,ELECTRONICS,1360,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
9,ALL CREDITS PAID BACK,USED CAR,5129,up to 100 K USD,above 7 YRS,NJ,NO,NO,NO,NO,NO,YES,NO,1,4,YES,NO,Yes
16,CRITICAL ACCOUNT,NEW CAR,1175,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,NO,NO,3,1,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,674,100 to 500 K USD,4 to 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
18,NONE TAKEN,FURNITURE,3244,up to 100 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,YES,YES,2,3,YES,NO,No
24,EXISTING CREDITS PAID BACK,RETRAINING,4591,above 1000 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,3,4,YES,NO,Yes
48,NONE TAKEN,RETRAINING,3844,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,2,NO,NO,Yes
27,EXISTING CREDITS PAID BACK,RETRAINING,3915,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,Yes
6,EXISTING CREDITS PAID BACK,ELECTRONICS,2108,up to 100 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,YES,NO,NO,1,3,NO,NO,No
45,EXISTING CREDITS PAID BACK,ELECTRONICS,3031,100 to 500 K USD,1 to 4 YRS,NY,NO,YES,NO,YES,NO,NO,NO,1,3,NO,NO,Yes
9,CRITICAL ACCOUNT,EDUCATION,1501,up to 100 K USD,above 7 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,2,4,YES,NO,Yes
6,CRITICAL ACCOUNT,ELECTRONICS,1382,up to 100 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,FURNITURE,951,100 to 500 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,YES,NO,4,3,NO,NO,Yes
24,EXISTING CREDITS PAID BACK,USED CAR,2760,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,NO,1,3,YES,NO,No
18,DELAY IN PAST,FURNITURE,4297,up to 100 K USD,above 7 YRS,NY,YES,NO,NO,NO,NO,NO,YES,1,4,YES,NO,Yes
9,CRITICAL ACCOUNT,EDUCATION,936,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,NEW CAR,1168,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO,No
27,DELAY IN PAST,RETRAINING,5117,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
12,EXISTING CREDITS PAID BACK,OTHER,902,up to 100 K USD,4 to 7 YRS,NY,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
12,CRITICAL ACCOUNT,NEW CAR,1495,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,2,NO,NO,No
30,CRITICAL ACCOUNT,USED CAR,10623,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,NO,NO,3,4,YES,NO,No
12,CRITICAL ACCOUNT,FURNITURE,1935,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,3,3,YES,NO,No
12,CRITICAL ACCOUNT,OTHER,1424,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,RETRAINING,6568,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,YES,YES,1,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,USED CAR,1413,above 1000 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,YES,No
9,CRITICAL ACCOUNT,ELECTRONICS,3074,UNKNOWN/NONE,1 to 4 YRS,PA,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,3835,UNKNOWN/NONE,above 7 YRS,NJ,NO,NO,NO,NO,YES,NO,YES,1,2,YES,NO,No
27,NONE TAKEN,RETRAINING,5293,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,YES,YES,2,3,YES,NO,Yes
30,DELAY IN PAST,RETRAINING,1908,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,4,YES,NO,Yes
36,CRITICAL ACCOUNT,ELECTRONICS,3342,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
6,CRITICAL ACCOUNT,OTHER,932,UNKNOWN/NONE,4 to 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,2,NO,NO,No
18,NONE TAKEN,RETRAINING,3104,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,3913,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,3021,up to 100 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,YES,NO,NO,1,2,NO,NO,No
10,EXISTING CREDITS PAID BACK,NEW CAR,1364,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,625,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,YES,YES,YES,YES,1,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,EDUCATION,1200,UNKNOWN/NONE,1 to 4 YRS,NY,NO,NO,NO,NO,NO,YES,NO,1,3,YES,NO,No
